platform,type,title,director,cast,country,release_year,rating,duration_minutes,num_seasons,genres,keywords,data_quality
Amazon Prime,Movie,Mothertime,Matthew Jacobs,"Kate Maberly, Gina Mckee, Anthony Andrews, Imogen Stubbs",,1997,Adult,87,,"Comedy, Drama",mothertime comedy drama jacobs,high
Netflix,Movie,Motichoor Chaknachoor,Debamitra Biswal,"Nawazuddin Siddiqui, Athiya Shetty, Sanjeev Vats, Vibha Chhibber, Vivek Mishra, Navni Parihar, Karuna Pandey, Abhishek Rawat",India,2019,Teen,132,,"Comedies, Dramas, International Movies",motichoor chaknachoor comedies dramas biswal,high
Amazon Prime,Movie,Motives,Craig Ross Jr.,"Vivica A. Fox, Shemar Moore, Golden Brooks, Sean Blakemore, Victoria Rowell, Keshia Knight Pulliam",,2004,Adult,87,,"Drama, Suspense",motives drama suspense jr.,high
Amazon Prime,Movie,Motives 2: Retribution,Aaron Courseault,"Brian White, Vivica A. Fox, Sean Blakemore, Shemar Moore, Sharon Leal, Daya Vaidya",,2007,Adult,94,,"Drama, Suspense",motives retribution drama suspense courseault,high
Disney+,Movie,Motocrossed,Steve Boyum,"Alana Austin, Riley Smith, Mary-Margaret Humes, Trever O'Brien, Timothy Carhart, Scott Terra",United States,2001,General,92,,"Drama, Sports",motocrossed drama sports boyum,high
Netflix,Movie,Motor Mitraan Di,Amitoj Mann,"Gurpreet Guggi, Happy Raikoti, Vikram Singh, Sonia Mann, Yograj Singh, Sardar Sohi, Harsharan Singh, Anita Meet, Prakash Gadhu, Gurmeet Sajan",India,2016,PG,117,,"Comedies, International Movies",motor mitraan comedies mann,high
Amazon Prime,Movie,Motorama,Barry Shils,"Jordan Christopher Michael, Martha Quinn, Drew Barrymore, Flea, Robert Picardo, Michael J. Pollard, Garrett Morris, Meat Loaf, John Diehl, Dick Miller, Mary Woronov, Jack Nance, Robin Duke, Susan Tyrrell, Allyce Beasley",,1993,Adult,89,,"Drama, Science Fiction",motorama drama science fiction shils,high
Netflix,TV Show,Motown Magic,,,"Australia, United States",2019,Kids,,2,"Kids' Tv, Tv Sci-Fi & Fantasy",motown magic kids sci fantasy,medium
Netflix,Movie,Motu Patlu Dino Invasion,Suhas Kadav,"Sourav Chakraborty, Mayur Vyas, Anil Datt",,2018,Kids,80,,"Children & Family Movies, Comedies",motu patlu dino invasion children family comedies kadav,high
Netflix,Movie,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Suhas Kadav,"Saurav Chakraborty, Sanket Mhatre, Kamal Chaturvedi, Warren Dsouza, Trilok Patel, Manish Bhuvan",,2018,Kids,86,,"Children & Family Movies, Music & Musicals",motu patlu kung kings challenge brothers children family music musicals kadav,high
Netflix,Movie,Motu Patlu VS Robo Kids,Suhas Kadav,"Sourav Chakraborty, Anil Dutt",,2019,Kids,84,,Children & Family Movies,motu patlu robo kids children family kadav,high
Netflix,Movie,Motu Patlu in Dragon's World,Suhas Kadav,Saurav Chakrabarty,,2017,Kids,78,,"Children & Family Movies, Comedies",motu patlu dragon world children family comedies kadav,high
Netflix,Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,"Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey",,2017,Kids,84,,"Children & Family Movies, Music & Musicals",motu patlu hong kong kung kings children family music musicals kadav,high
Netflix,Movie,Motu Patlu in Octupus World,Suhas Kadav,"Sourav Chakraborty, Vidit Kumar, Mayur Vyas, Mahendra Bhatnagar, Dishi Duggal, Nandkishore Pandey",,2017,Kids,81,,"Children & Family Movies, Comedies",motu patlu octupus world children family comedies kadav,high
Netflix,Movie,Motu Patlu in Wonderland,Suhas Kadav,"Saurav Chakraborty, Omi Sharma, Sankalp, Brian D Costa, Renu Sharda, Chinmey Sharma, Anamay Verma, Parminder Ghumman, Shailendra Pandey, Ravi Rajesh",,2013,Kids,76,,"Children & Family Movies, Music & Musicals",motu patlu wonderland children family music musicals kadav,high
Netflix,Movie,Motu Patlu in the City of Gold,Suhas Kadav,"Saurav Chakraborty, Ganesh Diweker, Arpita Vora, Manoj Pandey, Mayur Vyas, Sanjeev Tiwari, Nandkishore Pandey, Aditya Raaj",,2018,Kids,77,,"Children & Family Movies, Comedies, Music & Musicals",motu patlu city gold children family comedies music musicals kadav,high
Netflix,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,Saurav Chakraborty,,2019,Kids,87,,"Children & Family Movies, Comedies, Music & Musicals",motu patlu game zones children family comedies music musicals kadav,high
Netflix,Movie,Motu Patlu the Superheroes – Super Villains from Mars,Suhas Kadav,Saurav Chakraborty,,2019,Kids,79,,Children & Family Movies,motu patlu superheroes super villains mars children family kadav,high
Netflix,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,"Saurav Chakraborty, Vinod Kulkarni, Mayur Vyas, Dilip Sinha, Sunita Sharma",,2014,Kids,76,,"Children & Family Movies, Comedies",motu patlu deep sea adventure children family comedies kadav,high
Netflix,Movie,Motu Patlu: King of Kings,Suhas Kadav,"Saurav Chakrabarty, Vinay Pathak",India,2016,Kids,109,,"Children & Family Movies, Comedies",motu patlu king kings children family comedies kadav,high
Netflix,Movie,Motu Patlu: Mission Moon,Suhas Kadav,"Saurav Chakraborty, Omee, Sankalp, Rajesh, Vinod Kulkarni, Roopa Bhimani, Khushboo Atre, Shailendra Pandey, Shrikant Naidu, Khusboo, Nandkishore, Brian Dcosta",,2013,Kids,71,,"Children & Family Movies, Comedies",motu patlu mission moon children family comedies kadav,high
Amazon Prime,Movie,Mounam Pesiyadhe,Ameer,"Suriya, Trisha, Nandha, Laila",,2002,General,144,,Romance,mounam pesiyadhe romance ameer,high
Netflix,Movie,Mountain,Jennifer Peedom,,Australia,2017,PG,74,,"Action & Adventure, Documentaries, International Movies",mountain action adventure documentaries peedom,high
Amazon Prime,TV Show,Mountain Men,,"D.B. Sweeney, Tom Oar",,2013,PG,,2,"Documentary, Drama, Unscripted",mountain men documentary drama unscripted,high
Amazon Prime,Movie,Mountain Patrol,Chuan Lu,"Duobujie, Lei Zhang, Dao Qi, Xueying Zhao, Zhanlin Ma",,2006,Teen,89,,"Action, Arthouse, Drama",mountain patrol action arthouse drama,high
Amazon Prime,Movie,Mourning Son,Todd Newman,"Dave Navarro, Todd Newman",,2015,Adult,109,,Documentary,mourning son documentary newman,high
Amazon Prime,Movie,Mouse On The Moon,Richard Lester,"Bernard Cribbons, Margaret Rutherford",,1963,General,85,,"Comedy, Romance",mouse moon comedy romance lester,high
Netflix,TV Show,Move,"Thierry Demaizière, Alban Teurlai",,United States,2020,Adult,,1,"Docuseries, International Tv Shows",move docuseries teurlai,high
Netflix,TV Show,Move to Heaven,,"Lee Je-Hoon, Tang Jun-Sang, Hong Seung-Hee, Ji Jin-Hee, Lim Won-Hee, Choi Soo-Young",South Korea,2021,Adult,,1,"International Tv Shows, Tv Dramas",move heaven dramas,high
Netflix,Movie,Movie 43,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn","Greg Kinnear, Dennis Quaid, Common, Seth Macfarlane, Will Sasso, Hugh Jackman, Kate Winslet, Liev Schreiber, Naomi Watts, Anna Faris, Chris Pratt, J.B. Smoove, Kieran Culkin, Emma Stone, Cathy Cliften, Kristen Bell, Leslie Bibb, Bobby Cannavale, John Hodgman, Justin Long, Jason Sudeikis, Uma Thurman, Phil Crowley, Kate Bosworth, Richard Gere, Jack Mcbrayer, Aasif Mandvi, Christopher Mintz-Plasse, Chloë Grace Moretz, Matt Walsh, Patrick Warburton, Gerard Butler, Johnny Knoxville, Seann William Scott, Halle Berry, Stephen Merchant, Terrence Howard, Elizabeth Banks, Josh Duhamel",United States,2013,Adult,94,,Comedies,comedies gunn,high
Amazon Prime,Movie,Movie10x,Test title,,,2010,Unrated,1,,Drama,drama title,high
Amazon Prime,Movie,Movie10y,Test title,Proddy Prod Prod,,2010,Unrated,1,,Drama,drama title,high
Amazon Prime,Movie,Movie_Project_UN_Test_UHD,Test Director,"Test Actor 1, Test Actor 2",,2019,General,,,Comedy,project test uhd comedy director,high
Netflix,TV Show,Moving Art,,,United States,2018,General,,3,"Docuseries, Science & Nature Tv",moving art docuseries science nature,medium
Amazon Prime,Movie,Moving Half The Mountain,Helen Langridge,,,2013,Adult,59,,"Documentary, Special Interest",moving half mountain documentary special interest langridge,high
Netflix,TV Show,Moving On,,"Irene Santiago, Gary Estrada, Ariel Rivera, Patrick Theo, Louise Chong, Mano Maniam, Jojo Struys, Alvin Wong",,2016,PG,,1,"International Tv Shows, Tv Dramas",moving dramas,high
Netflix,Movie,Mowgli: Legend of the Jungle,Andy Serkis,"Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris, Andy Serkis, Rohan Chand, Peter Mullan, Jack Reynor, Eddie Marsan, Tom Hollander, Louis Ashbourne Serkis, Matthew Rhys, Freida Pinto","United Kingdom, United States",2018,Teen,105,,"Action & Adventure, Children & Family Movies, Dramas",mowgli legend jungle action adventure children family dramas serkis,high
Netflix,Movie,Moxie,Amy Poehler,"Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Nico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Josie Totah, Alycia  Pascual-Peña, Anjelika Washington, Charlie Hall, Sabrina Haskett, Ike Barinholtz, Amy Poehler, Marcia Gay Harden",United States,2021,Teen,112,,"Comedies, Dramas, Music & Musicals",moxie comedies dramas music musicals poehler,high
Amazon Prime,TV Show,Mozart in the Jungle,,"Lola Kirke, Gael Garcia Bernal, Hannah Dunne, Bernadette Peters, Saffron Burrows, Malcolm Mcdowell",United States,2018,Adult,,4,"Comedy, Drama",mozart jungle comedy drama,high
Amazon Prime,TV Show,Mr Bean in Handy Bean,,,,2018,General,,1,"Comedy, Kids",bean handy comedy kids,medium
Amazon Prime,Movie,Mr Harvey Lights a Candle,Susanna White,"Timothy Spall, Celia Imrie, Ben Miles, David Bradley, Natalie Press",,2005,Adult,84,,Drama,harvey lights candle drama white,high
Hulu,TV Show,Mr Inbetween,,,Australia,2018,Adult,,3,"Crime, Drama",inbetween crime drama,medium
Amazon Prime,Movie,Mr and Miss,Ashok Reddy,"Sailesh Sunny, Gnaneswari Kandregula",,2021,Adult,125,,Romance,miss romance reddy,high
Amazon Prime,TV Show,Mr. Bean,,Rowan Atkinson,,1995,Kids,,1,"Comedy, Kids",bean comedy kids,high
Hulu,TV Show,Mr. Bean,,,United Kingdom,1990,General,,1,"Comedy, Family, International",bean comedy family,medium
Amazon Prime,TV Show,Mr. Bean: The Animated Series,,"Rowan Atkinson, Sally Grace, Mathilda Ziegler",,2019,Kids,,1,"Animation, Kids",bean animated animation kids,high
Disney+,Movie,Mr. Boogedy,Oz Scott,"Richard Masur, Mimi Kennedy, Benjamin Gregory, David Faustino, Kristy Swanson, Howard Witt",United States,1986,PG,46,,"Comedy, Fantasy",boogedy comedy fantasy scott,high
Netflix,Movie,Mr. Chandramouli,Thiru,"Karthik, Gautam Karthik, Regina Cassandra, Varalakshmi Sarathkumar, Santhosh Prathap, Mime Gopi, J. Mahendran, Viji Chandrasekhar",India,2018,Adult,131,,"Dramas, International Movies, Thrillers",chandramouli dramas thrillers thiru,high
Netflix,Movie,Mr. Church,Bruce Beresford,"Eddie Murphy, Britt Robertson, Natascha Mcelhone, Xavier Samuel, Lucy Fry, Christian Madsen, Natalie Coughlin, Madison Wolfe, Thom Barry, Mckenna Grace",United States,2016,Teen,105,,Dramas,church dramas beresford,high
Amazon Prime,TV Show,Mr. D,,"Gerry Dee, Jonathan Torrens, Lauren Hammersley, Bette Macdonald",,2018,PG,,8,Comedy,comedy,high
Netflix,Movie,Mr. Deeds,Steve Brill,"Adam Sandler, Winona Ryder, Peter Gallagher, Jared Harris, Allen Covert, Erick Avari, John Turturro, Peter Dante, Conchata Ferrell, Steve Buscemi",United States,2002,Teen,97,,"Comedies, Romantic Movies",deeds comedies romantic brill,high
Disney+,Movie,Mr. Duck Steps Out,Jack King,,United States,1940,General,9,,"Animation, Comedy, Family",duck steps out animation comedy family king,high
Amazon Prime,Movie,Mr. Family Man,Kreeti Gogia,Praveen Kumar,India,2020,Adult,55,,"Arts, Entertainment, And Culture, Comedy",family man arts entertainment culture comedy gogia,high
Netflix,Movie,Mr. Gaga: A True Story of Love and Dance,Tomer Heymann,Ohad Naharin,"Germany, Israel, Netherlands, Sweden",2015,Teen,102,,"Documentaries, International Movies",gaga true story love dance documentaries heymann,high
Disney+,Movie,Mr. Holland's Opus,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",United States,1996,PG,143,,"Drama, Music",holland opus drama music herek,high
Netflix,TV Show,Mr. Iglesias,,"Gabriel Iglesias, Sherri Shepherd, Jacob Vargas, Maggie Geha, Richard Gant, Cree Cicchino, Fabrizio Guido, Oscar Nuñez",United States,2020,Teen,,3,"Tv Comedies, Teen Tv Shows",iglesias comedies teen,high
Amazon Prime,Movie,Mr. Imperium,Don Hartman,"Debbie Reynolds, Lana Turner, Englo Pinza, Marjorie Main, Barry Sullivan",United States,1951,Teen,87,,Drama,imperium drama hartman,high
Hulu,Movie,Mr. Jones,,,"Poland, Ukraine, United Kingdom",2020,Unrated,119,,"Drama, History, Thriller",jones drama history thriller,medium
Disney+,Movie,Mr. Magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,1997,PG,88,,"Action-Adventure, Comedy, Crime",magoo action adventure comedy crime tong,high
Hulu,TV Show,Mr. Mayor,,,United States,2021,PG,,1,"Comedy, Sitcom",mayor comedy sitcom,medium
Amazon Prime,TV Show,"Mr. Monkey, Monkey Mechanic",,"Matt Servo, Nick Tracy, Brett Jubinville, Hayden Finkelshtain, Mike Hogue, Ingrid Hansen, Joe Ciaravino, Ashlie White",,2019,General,,3,"Animation, Kids",monkey mechanic animation kids,high
Disney+,Movie,Mr. Mouse Takes a Trip,Clyde Geronimi,,United States,1940,General,8,,"Animation, Comedy, Family",mouse takes trip animation comedy family geronimi,high
Netflix,Movie,Mr. Peabody & Sherman,Rob Minkoff,"Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",United States,2014,PG,93,,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",peabody sherman children family comedies sci fantasy minkoff,high
Hulu,TV Show,Mr. Pickles,,,United States,2013,Adult,,4,"Adult Animation, Comedy, Sitcom",pickles adult animation comedy sitcom,medium
Netflix,Movie,Mr. Pig,Diego Luna,"Danny Glover, Maya Rudolph, José María Yazpik, Joel Murray, Angélica Aragón, Gabriela Araujo",Mexico,2016,Adult,97,,"Dramas, Independent Movies, International Movies",pig dramas independent luna,high
Amazon Prime,Movie,Mr. Reckless,Frank McDonald,"William Eythe, Barbara Britton, Walter Catlett, Minna Gombell, Lloyd Corrigan, Frank Jenks",,1948,Teen,69,,"Action, Drama",reckless action drama mcdonald,high
Amazon Prime,TV Show,Mr. Robot,,"Rami Malek, Christian Slater, Portia Doubleday, Carly Chaikin, Grace Gummer, Michael Cristofer, Martin Wallstrom, Ashlie Atkinson",,2019,Adult,,4,Tv Shows,robot,high
Netflix,Movie,Mr. Romantic,Ahmed Al-Badry,"Mohamed Emam, Hassan Hosny, Lebleba, Medhat Tekha, Bassem Samra, Dominique Hourani, Saeed Tarabeek, Diaa El Merghany, Nahla Zaki, Saad El Soghayar",,2009,Teen,97,,"Comedies, International Movies, Romantic Movies",romantic comedies al-badry,high
Netflix,Movie,Mr. Roosevelt,Noël Wells,"Noël Wells, Nick Thune, Britt Lower, Daniella Pineda, Andre Hyland, Armen Weitzman, Sergio Cilli",United States,2017,Adult,91,,"Comedies, Independent Movies",roosevelt comedies independent wells,high
Netflix,TV Show,Mr. Sunshine,Lee Eung-bok,"Lee Byung-Hun, Kim Tae-Ri, Yoo Yeon-Seok, Kim Min-Jung, Byun Yo-Han",South Korea,2018,Adult,,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",sunshine korean romantic eung-bok,high
Amazon Prime,Movie,Mr. Superinvisible,Antonio Margheriti,Dean Jones,,1970,Teen,92,,Comedy,superinvisible comedy margheriti,high
Netflix,Movie,Mr. Virgin,Anthony Chan,"Olivia Cheng, Alfred Cheung, Hu Chin, Chung Ping Geung, Anglie Leung",Hong Kong,1984,Teen,86,,"Comedies, Dramas, International Movies",virgin comedies dramas chan,high
Amazon Prime,Movie,Mr. Weekend,McKenzie Woodward,"Willie Wright, Janelle Marie",,2020,Adult,94,,"Drama, Suspense",weekend drama suspense woodward,high
Amazon Prime,Movie,Mr. Wise Guy,William Nigh,,,1942,Kids,70,,"Comedy, Drama",wise guy comedy drama nigh,high
Amazon Prime,Movie,Mr. Wong Detective,William Nigh,"Boris Karloff, Grant Withers, Maxine Jennings, Evelyn Brent, George Lloyd, Lucien Prival, John St. Polis, William Gould, Hooper Atchley, John Hamilton, Wilbur Mack, Lee Tung Foo, Lynton Brent, Grace Wood, Frank Bruno, Ed Cassidy, Wheaton Chambers, Clancy Cooper, Lester Dorr, Herbert Evans",,1938,PG,74,,"Drama, Suspense",wong detective drama suspense nigh,high
Amazon Prime,Movie,Mr. Wong In Chinatown,William Nigh,"Boris Karloff, Marjorie Reynolds, Grant Withers, Huntley Gordon, George Lynn, William Royle, James Flavin, Lotus Long, Lee Tung Foo, Bessie Loo, Richard Loo, Ernie Stanton, I. Stanford Jolley, Donald Kerr, Wilbur Mack, Moy Ming, Bruce Mitchell, Angelo Rossitto, Guy Usher",,1939,Teen,71,,Suspense,wong chinatown suspense nigh,high
Netflix,Movie,Mr. Woodcock,Craig Gillespie,"Billy Bob Thornton, Seann William Scott, Ethan Suplee, Melissa Sagemiller, Susan Sarandon, Melissa Leo, Bill Macy, Kurt Fuller, Amy Poehler",United States,2007,Teen,88,,Comedies,woodcock comedies gillespie,high
Netflix,TV Show,Mr. Young,,"Brendan Meyer, Matreya Fedor, Gig Morton, Kurt Ostlund, Emily Tennant, Milo Shandel",Canada,2013,General,,2,"Kids' Tv, Tv Comedies",young kids comedies,high
Amazon Prime,Movie,Mr.Bharath,S. P. Muthuraman,"Rajnikanth, Sathyaraj, Ambika, Sharada, Raghuvaran, Goundamani, Viji",,1986,Teen,141,,"Action, Drama",bharath action drama muthuraman,high
Amazon Prime,Movie,Mr.Nerd & The Woman in High handed Attitude,Masao KONNO,"Momoka Kurumizawa, Chiaki Sakamoto",,2021,Teen,13,,"Comedy, Drama",nerd woman high handed attitude comedy drama konno,high
Amazon Prime,Movie,Mrs Pollifax Spy,Leslie H. Martinson,"Harold Gould, Darren Mcgavin",,1971,Teen,109,,Comedy,mrs pollifax spy comedy martinson,high
Disney+,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,1993,Teen,126,,"Comedy, Drama",mrs doubtfire comedy drama columbus,high
Netflix,Movie,Mrs. Serial Killer,Shirish Kunder,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan",India,2020,Adult,107,,"International Movies, Thrillers",mrs serial killer thrillers kunder,high
Amazon Prime,Movie,Mrs. Whittle's Cottage,Patricia White,"Patricia White, Emily Marsh",,2021,General,46,,Kids,mrs whittle cottage kids white,high
Netflix,Movie,Ms. Mammy,Wael Ihsan,"Yasmin Abdulaziz, Hassan El Raddad, Ahmed Fouad Selim, Entessar, Hesham Ismail, Badria Tolba, Ghassan Mattar, Eman El-Sayed, Saad El Soghayar, Soleiman Eid, Youssef Eid, Hassan Abdulfattah, Mohamed Lotfy, Hala Fakher",Egypt,2012,Teen,90,,"Comedies, International Movies",mammy comedies ihsan,high
Amazon Prime,Movie,Ms. Purple,Justin Chon,"Jake Choi, Courtney Bandeko",,2019,Adult,87,,"Action, Drama",purple action drama chon,high
Amazon Prime,Movie,Ms. White Light,Paul Shoulberg,"Roberta Colindrez, Zachary Spicer, John Ortiz, Judith Light",,2020,Adult,95,,"Comedy, Drama",white light comedy drama shoulberg,high
Netflix,Movie,Mubarakan,Anees Bazmee,"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty, Neha Sharma, Vineet Kumar Singh, Pavan Malhotra, Ratna Pathak Shah, Karan Kundra, Anil Mange, Rahul Dev, Sanjay Kapoor",India,2017,Teen,153,,"Comedies, Dramas, International Movies",mubarakan comedies dramas bazmee,high
Amazon Prime,Movie,Mubutu's African Movie Theater: Episode 6,Prince Mabutu Nayabingi,,,2021,Adult,70,,Action,mubutu african theater episode action nayabingi,high
Hulu,Movie,Much Ado About Nothing,,,,2013,Teen,109,,"Comedy, Drama, Romance",much ado about nothing comedy drama romance,medium
Netflix,Movie,Much Ado About Nothing,Alejandro Fernández Almendras,"Agustín Silva, Paulina García, Daniel Alcaíno, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos","Chile, France, United States",2016,Adult,96,,"Dramas, Independent Movies, International Movies",much ado about nothing dramas independent almendras,high
Netflix,Movie,Much Loved,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Camélia Montassere","France, Morocco",2015,Adult,104,,"Dramas, Independent Movies, International Movies",much loved dramas independent ayouch,high
Netflix,Movie,Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch",Walter Mercado,United States,2020,Teen,96,,"Documentaries, Lgbtq Movies",mucho amor legend walter mercado documentaries lgbtq tabsch,high
Netflix,Movie,Mucize,Mahsun Kırmızıgül,"Talat Bulut, Mert Turak, Mahsun Kırmızıgül, Erdem Yener, Erol Demiröz, Ali Sürmeli, Meral Çetinkaya, Büşra Pekin",Turkey,2015,Teen,136,,"Dramas, International Movies",mucize dramas kırmızıgül,high
Amazon Prime,Movie,Mud,Jeff Nichols,"Matthew Mcconaughey, Tye Sheridan, Jacob Lofland, Sam Shepard, Reese Witherspoon",,2013,Teen,131,,"Drama, Suspense",mud drama suspense nichols,high
Netflix,Movie,Mud,Jeff Nichols,"Matthew Mcconaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland, Sam Shepard, Ray Mckinnon, Sarah Paulson, Michael Shannon, Joe Don Baker, Paul Sparks",United States,2012,Teen,131,,"Dramas, Independent Movies",mud dramas independent nichols,high
Amazon Prime,Movie,Mud Flat Murders,Elena Altman,"Amanda Spencer, Paul Thomas Williams Jr., Brian Ruthruff, Linnea Peery, Alan Zeichner",,2021,Adult,59,,Suspense,mud flat murders suspense altman,high
Amazon Prime,TV Show,"Mud, Sweat & Gears",,"Tom Ford, Jonny Smith",,2015,Teen,,1,"Special Interest, Unscripted",mud sweat gears special interest unscripted,high
Netflix,Movie,Mudbound,Dee Rees,"Carey Mulligan, Jason Clarke, Mary J. Blige, Garrett Hedlund, Jason Mitchell, Rob Morgan, Jonathan Banks",United States,2017,Adult,135,,"Dramas, Independent Movies",mudbound dramas independent rees,high
Amazon Prime,TV Show,Muffin Socks,,,,2021,General,,1,"Animation, Kids",muffin socks animation kids,medium
Netflix,Movie,Mugamoodi,Mysskin,"Jiiva, Pooja Hegde, Narain, Nasser, Girish Karnad, Anupama Kumar, Selvaah",India,2012,Teen,150,,"Action & Adventure, International Movies",mugamoodi action adventure mysskin,high
Amazon Prime,Movie,Mugguru Monagallu,Abhilash Reddy,"Srinivas Reddy, Dheekshith Shetty, Vennela Rama Rao, Twisha Sharma, Raja Ravindra, Tnr, Swetaa Varma, Nassar, Bhadram, Surya",,2021,Teen,108,,"Comedy, Drama, Suspense",mugguru monagallu comedy drama suspense reddy,high
Netflix,Movie,Mujeres arriba,Andrés Feddersen,"Loretto Bernal, Natalia Valdebenito, Alison Mandel, Matías Assler, Cristián Riquelme, Diego Casanueva, Samuel González, Consuelo Holzapfel, Esteban Rojas, Amanda Müller",Chile,2019,Teen,98,,"Comedies, International Movies, Romantic Movies",mujeres arriba comedies romantic feddersen,high
Amazon Prime,Movie,Mujhse Fraaandship Karoge,Nupur Asthana,"Saqib Saleem, Saba Azad, Nishant Dahiya, Tara D'Souza, Prabal Panjabi, Chitrak Bandyopadhyay, Manasi Rachh, Suparna Marwah, Zuha Sharma, Kavi Shastri, Keshav Sunder, Mita Vasisht",India,2011,Teen,105,,"International, Romance",mujhse fraaandship karoge romance asthana,high
Netflix,Movie,Mujhse Shaadi Karogi,David Dhawan,"Rajpal Yadav, Amrish Puri, Kader Khan, Shashi Kala, Priyanka Chopra, Salman Khan, Akshay Kumar, Satish Shah",India,2004,PG,158,,"Comedies, International Movies, Romantic Movies",mujhse shaadi karogi comedies romantic dhawan,high
Netflix,Movie,Mujrim,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena",India,1989,Teen,163,,"Action & Adventure, Dramas, International Movies",mujrim action adventure dramas mehra,high
Netflix,Movie,Mukhsin,Yasmin Ahmad,"Mohd Syafie Naswip, Sharifah Aryana, Sharifah Aleya, Adibah Noor, Irwan Iskandar, Sallehuddin Abu Bakar",Malaysia,2006,PG,98,,"Children & Family Movies, Comedies, Dramas",mukhsin children family comedies dramas ahmad,high
Amazon Prime,Movie,Muklawa,Simerjit Singh,"Ammy Virk, Sonam Bajwa, Gurpreet Ghuggi, Bn Sharma, Karamjit Anmol, Sarbjit Cheema",India,2019,Teen,111,,"Comedy, Drama, International",muklawa comedy drama singh,high
Disney+,Movie,Mulan,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An","Canada, Hong Kong, United States",2020,Teen,117,,"Action-Adventure, Coming Of Age, Drama",mulan action adventure coming age drama caro,high
Disney+,Movie,Mulan II,"Darrell Rooney, Lynne Southerland","Ming-Na Wen, B.D. Wong, Mark Moseley, Lucy Liu, Harvey Fierstein, Sandra Oh","China, Egypt, Hong Kong, India, Iran, Japan, Kazakhstan, Malaysia, Pakistan, Russia, Singapore, South Korea, Syria, Taiwan, United States",2005,General,82,,"Action-Adventure, Animation, Family",mulan action adventure animation family southerland,high
Amazon Prime,Movie,Mulberry Street,Jim Mickle,"Nick Damici, Kim Blair",,2008,Adult,84,,"Horror, Suspense",mulberry street horror suspense mickle,high
Amazon Prime,Movie,Mule Train,John English,"Gene Autry, Champion, Sheila Ryan",,1950,Teen,71,,"Special Interest, Western",mule train special interest western english,high
Amazon Prime,Movie,Mulligans,Chip Hale,"Charlie David, Dan Payne, Thea Gill, Derek Baynham, Grace Vukovic, Calum Worthy, Amy Matysio",,2020,Adult,90,,Drama,mulligans drama hale,high
Amazon Prime,Movie,Mully,Scott Haze,"Charles Mully, Esther Mully, Isaac Mulli",,2017,PG,81,,"Documentary, Faith And Spirituality",mully documentary faith spirituality haze,high
Netflix,Movie,Mumbai Cha Raja,Manjeet Singh,"Rahul Bairagi, Arbaaz Khan, Tejas Parvatkar, Dhanshree Jain, Salman Khan, Aftab Khan",India,2012,Adult,77,,"Dramas, Independent Movies, International Movies",mumbai cha raja dramas independent singh,high
Netflix,Movie,Mumbai Delhi Mumbai,Satish Rajwade,"Shiv Pandit, Piaa Bajpai",India,2014,Adult,107,,"Comedies, International Movies, Romantic Movies",mumbai delhi comedies romantic rajwade,high
